key,en,nl,fr,de
Add to playerlist,Add to playerlist,Toevegen aan spelerslijst,Ajouter à la liste de force,Zur Spielerliste hinzufügen
Add transfer to a club,Add transfer to a club,Trnasfer naar een club toevoegen,Ajouter un transfert à un club,Transfer zu einem Verein hinzufügen
Address,Address,Adres,Adresse,Adresse
Administration,Administration,Beheer,Administration,Administration
Affiliations,Affiliations,Aanslutingen,Affiliations,Zugehörigkeiten
Affiliations manager,Affiliations manager,Verantwoordelijke aansluitingen,Responsable des affiliations,Verantwortliche Zugehörigkeiten
All rounds,All rounds,Alle ronden,Toutes les rondes,Alle Runden
Announcements,Announcements,Meldingen,Annonces,Ankündigungen
"As such, for this interclub season, it can transfer it members to other clubs.","As such, for this interclub season, it can transfer it members to other clubs.",Als zodanig kan het voor dit interclubseizoen zijn leden overdragen aan andere clubs.,"A ce titre, pour cette saison interclubs, il peut transférer ses membres vers d'autres clubs.",Als solcher kann er für diese Interclub-Saison seine Mitglieder zu anderen Clubs transferieren.
Assigned Rating,Assigned Elo,Toegewezen Elo,Elo attribué,Zugewiesenes Elo
Availability,Availability,Beschikbaarheid,Disponibilité,Verfügbarkeit
Back,Back,Terug,Retour,Zurück
Bank account BIC,Bank account BIC,Bankrekening BIC,BIC du compte bancaire,Bankkonto-BIC
Bank account IBAN,Bank account IBAN,Bankrekening IBAN,IBAN du compte bancaire,Bankkonto-IBAN
Bank account name,Bank account name,Naam bankrekening,nom du compte bancaire,Bankkontoname
Bank details,Bank details,Bankgegevens,coordonnées bancaires,Bank details
BC Adults,BC Adults,BK volwassenen,CB adultes,BLM Erwachsene
BC Blitz,BC Blitz,BK Blitz,CB Blitz,BLM Blitz
BC Rapid,BC Rapid,BK Rapid,CB Rapid,BLM Rapid
BC School chess,BC School chess,BC Schoolschaak,CB inter-écoles,BLM Schulschah
BC Youth,BC Youth,BK Jeugd,CB Jeunesse,BLM Jugend
Board,Board,Bestuur,Organe d'administration,Verwaltungsrat
Board members,Board members,Bestuursleden,Administrateurs,Vorstandsmitglieder
Book 100 years,Book 100 years,Boek 100 jaar,Livre 100 ans,Buch 100 Jahre
Calendar,Calender,Kalender,Calendrier,Kalender
Cancel,Cancel,Annuleren,Annuler,Absagen
Capacity (boards),Capacity (boards),Capaciteit (borden),Capacité (échiquiers),Kapazität (Schachbretter)
Chess equiment,Chess equiment,Schaakmateriaal,Equipement d'échecs,Schachausrüstung
Click on the value of assigned rating to change it,Click on the value of assigned rating to change it,Klik op de waarde van de toegewezen Elo om deze te wijzigen,Cliquez sur la valeur de l'ELO attribué pour la modifier,"Klicken Sie auf den Wert der zugewiesenen Elo, um ihn zu ändern"
Closing time for modifying the playerlist,Closing time for modifying the playerlist,Sluitingstijd voor het wijzigen van de spelerslijst,Heure de fermeture pour modifier la liste de force,Schließungszeit für die Änderung der Spielerliste
Club,Club,Club,Cercle,Verein
CLUB,Club,Club,Cercle,Verein
Club administrators,Club administrators,Clubbeheerders,Administrateurs du cercle,Vereinsadministratoren
Club details,Club details,Clubgegevens,Détails du club,Vereinsdaten
Club saved,Club saved,Club bewaard,Cercle sauvé,Verein gespeichert
Club venue,Club venue,Clublokaal,Lieu du club,Ort des Clubs
Collaborator,Collaborator,Medewerker,Collaborateur,Mitarbeiter
Committees,Committees,Commissies,Commissions,Ausschüsse
Communication manager,Communication manager,Communicatiemanager,Responsable de la communication,Kommunikationsmanager
Competitions,Competitions,Competities,Compétitions,Wettbewerbe
Confirm,Confirm,Bevestigen,Confirmer,Bestätigen
Confirmation,Confirmation,Bevestiging,Confirmation,Bestätigung
Confirmed,Confirmed,Bevestigd,Confirmé,Bestätigt
Consulting access rights,Consulting access rights,Toegangsrechten raadplegen,Consulter les droits d'accès,Zugriffsrechte abfragen
Consulting club details,Consulting club details,Clubdetails raadplegen,Consulter les details du cercle,Vereinsdetails abfragen
Contact,Contact,Contact,Contact,Kontakt
Contact details,Contact details,Contactdetails,Détails de contact,Kontaktdetails
Continue,Continue,Verder,Continuer,Weiter
Cost,Cost,Kost,Coût,Kosten
Dates,Dates,Data,Dates,Daten
Define order,Define order,Bepaal volgorde,Définir l'ordre,Reihenfolge definieren
Define players,Define players,Definieer spelers,Définir les joueurs,Spieler definieren
Define teams,Define teams,Bepaal teams,Définir les équipes,Teams definieren
Define the incoming and outgoing transfers.,Define the incoming and outgoing transfers.,Bepaal de inkomende en uitgaande transfers.,Définir les transferts entrants et sortants.,Definieren Sie die eingehenden und ausgehenden Transfers.
Define the order of the players in the list.,Define the order of the players in the list.,Bepaal de volgorde van de spelers in de lijst.,Définir l'ordre des joueurs dans la liste.,Definieren Sie die Reihenfolge der Spieler in der Liste.
Define the titulars per team,Define the titulars per team,BEpaal titularissen per ploeg,Définir les titulaires par équipe,Definieren Inhaber  für Teams
Define transfers,Define transfers,Definieer transfers,Définir les transferts,Transfers definieren
Define who are the players on the list.,Define who are the players on the list.,Bepaal wie de spelers op de lijst zijn.,Définir qui sont les joueurs sur la liste.,"Definieren Sie, wer die Spieler auf der Liste sind."
Delivery,Delivery,Levering,Livraison,Lieferung
Details,Details,Details,Détails,Details
Distribution of teams in same division,Distribution of teams in same division,Verdeling van teams in dezelfde afdeling,Répartition des équipes dans la même division,Verteilung der Teams in derselben Division
Distribution points,Distribution points,Verdeelpunten,Points de distribution,Verteilungspunkte
Dutch,Dutch,Nederlands,Néerlandais,Niederländisch
E-mail,E-mail,E-mail,E-mail,E-mail
ELO processing,ELO processing,ELO-verwerking,Traitement ELO,ELO Verarbeitung
ELO tournaments,ELO tournaments,ELO toernooien,Tournois Elo,ELO Turniere
Email address,Email address,E-mailadress,Adresse e-mail,E-mailadresse
Email address administration,Email address for administration,E-mailadres voor administratie,Adresse e-mail de l'administration,E-Mail-Adresse für die Verwaltung
Email address finance,Email address for finance,E-mailadres voor financiën,Adresse e-mail pour les finances,E-Mail-Adresse für Finanzen
Email address Interclub,Email address for Interclub,E-mailadres voor Interclub,Adresse e-mail pour les Interclubs,E-Mail-Adresse für Interclub
Email addresses,Email addresses,E-mailadressen,Adresses e-mail,E-mailadressen
Enrollment,Enrollment,Inschrijving,Inscription,Anmeldung
Existing enrollment,Existing enrollment,Bestaande inschrijving,Inscription existante,Bestehende Anmeldung
Federation,Federation,Federatie,Fédération,Föderation
First name,First name,Voornaam,Prénom,Vorname
French,French,Frans,Français,Französisch
From club,From club,Van club,Du club,Vom Verein
G License,G License,G Licentie,Licence G,G Lizenz
GDPR,GDPR,GDPR,RGPD,GDPR
German,German,Duits,Allemand,Deutsch
Getting club details failed,Getting club details failed,Het ophalen van clubgegevens is mislukt,Échec de l'optention des détails du club,Abrufen der Clubdetails fehlgeschlagen
Getting club members failed,Getting club members failed,Het ophalen van clubleden is mislukt,Échec de l'obtention des membres du club,Abrufen der Mitglieder fehlgeschlagen
Getting clubs failed,Getting clubs failed,Het ophalen van clubs is mislukt,Échec de l'obtention des clubs,Abrufen der Vereine fehlgeschlagen
HIDDEN,hidden,verborgen,caché,versteckt
Home,Home,Home,Accueil,Startseite
Honorary members,Honorary members,Ereleden,Membres d'honneur,Ehrenmitglieder
Honorary president,Honorary president,Erevoorzitter,Président d'honneur,Ehrenpräsident
ID number,ID number,Stamnummer,Matricule,ID-Nummer
Identity,Identity,Identiteit,Identité,Identität
In 1 series,In 1 series,In 1 reeks,En une seule série,In 1 Einzelserie
In multiple series,In multiple series,In meerdere reeksen,En plusieurs séries,In mehrere Serien
Incoming transfers,Incoming transfers,Inkomende transfers,Transfrets entrants,Eingehende Trnasfers
Interclub Administrators,Interclub Administrators,Interclubbeheerders,Administrateurs interclubs,Interclub-Administratoren
Interclub Captains,Interclub Captains,Interclubkapiteinen,Capitaines interclubs,Interclub-Kapitäne
Interclub enrollment,Interclub enrollment,Inschrijving Interclub,Enregistrement Interclubs,Interclub-Anmeldung
Interclub venues,Interclub venues,Speellokalen Interclub,Salles de jeux Interclubs,Interclub-Spielorte
Internal rules,Internal rules,Intern reglement,Règlement interne,interne Regulierung
International,International,Internationaal,International,International
International competitions,International competitions,Internationale competities,Compétitions internationales,Internationale Wettbewerbe
Intro,Intro,Intro,Intro,Intro
Intro Player List,Intro Player List,Intro Spelerslijst,Intro liste de force,Intro-Spielerliste
Last name,Last name,Familienaam,Nom,Nachname
Loading members ... Please wait,Loading members ... Please wait,Leden aan het laden ... Even geduld aub,Chargement des membres... Veuillez patienter,Mitglieder werden geladen ... Bitte warten
Long name,Long name,Lange naam,Nom long,Langer Name
Main email address,Main email address,Hoofd e-mailadres,Adresse e-mail principale,Haupt-E-Mail-Adresse
Manager international selections,Manager international selections,Manager internationale selecties,Responsable sélections internationales,Manager internationale Auswahlen
Mandated persons,Mandated persons,Gemandateerden,Personnes mandatées,Mandierte Personen
Members,Members,Leden,Membres,Mitglieder
Mobile phone,Mobile phone,GSM,GSM,Handy
Modify access rights,Modify access rights,Toegangsrechten wijzigen,Modifier les droits d'accès,Zugriffsrechte ändern
Modify club,Modify club,Club wijzigen,Modifier cercle,Verein ändern
Modify enrollment,Modify enrollment,Inschrijving wijzigen,Modifier l'inscription,Anmeldung ändern
Modify playerlist again,Modify playerlist again,Spelerlijst opnieuw wijzigen,Modifier à nouveau la liste de force,Ändern Sie die Spielerliste erneut
Modify venues,Modify venues,Lokalen wijzigen,Modifier salles de jeux,Orte ändern
More,More,Meer,Plus,Mehr
New enrollment,New enrollment,Nieuwe inschrijving,Nouvelle inscription,Neuanmeldung
No incoming transfers,No incoming transfers,No incoming transfers,Aucun transfert entrant,Keine eingehenden Überweisungen
No interclub venue is defined yet,No interclub venue is defined yet,Er is nog geen interclublokaal gedefinieerd,Aucune salle de jeux n'est encore définie,Es ist noch kein Interclub-Spielort definiert
No outgoing transfers,No outgoing transfers,Geen uitgaande transfers,Pas de transferts sortants,Keine ausgehenden Transfers
No preference,No preference,Geen voorkeur,Pas de préférence,keine Präferenz
Not available,Not available,Niet beschikbaar,Indisponible,Nicht verfügbar
Not available yet,Not available yet,Nog niet beschikbaar,Pas encore disponible,Zurzeit nicht verfügbar
not on the playerlist.,not on the playerlist.,niet op de spelerslijst.,pas sur la liste de force.,nicht auf der Spielerliste.
Ombudsman,Ombudsman,Ombudsman,Médiateur,Ombudsmann
Order created successfully,Order created successfully,Bestelling succesvol aangemaakt,Commande créée avec succès,Bestellung erfolgreich erstellt
Order of players,Order of players,Volgorde van spelers,Ordre des joueurs,Reihenfolge der Spieler
Order the players by adjusting the assigned rating.,Order the players by adjusting the assigned rating.,Rangschik de spelers door de toegekende rating aan te passen.,Triez les joueurs en ajustant la note attribuée.,"Ordnen Sie die Spieler, indem Sie den zugewiesene Elo anpassen."
Ordering form,Ordering form,Bestelformulier,Formulaire de commande,Bestellformular
Ordering the book 100 years of Belgian chess history,Ordering the book 100 years of Belgian chess history,Bestellen boek 100 jaar Belgische schaakgeschiedenis,Commander le livre 100 ans d'histoire des échecs en Belgique,Bestellung des Buches 100 Jahre Belgische Schachgeschichte
Outgoing transfers,Outgoing transfers,Uitgaande transfers,Transferts sortants,Ausgehende Transfers
Own players on the playerlist,Own players on the playerlist,Eigen spelers op de spelerslijst,Propres joueurs sur la liste de force,Eigene Spieler auf der Spielerliste
Password,Password,Wachtwoord,Mot de passe,Passwort
Permission denied,Permission denied,Geen toestemming,Permission refusée,Erlaubnis verweigert
Planning,Planning,Planning,Planification,Planung
Planning,Planning,Planning,Planning,Planung
Player list,Player list,Spelerslijst,Liste de force,Spielerliste
Playerlist saved,Playerlist saved,Spelerslijst opgeslaan,Liste de joueurs enregistrée,Spielerliste gespeichert
Players with the same assigned rating are not allowed.,Players with the same assigned rating are not allowed.,Spelers met dezelfde toegewezen Elo zijn niet toegelaten,Les joueurs avec le même Elo attribué ne sont pas autorisés.,Spieler mit dem gleichen zugewiesenen Elo sind nicht erlaubt.
Please select a club to view the enrollment,Please select a club to view the enrollment,Selecteer een club om de inschrijving te bekijken,Veuillez sélectionner un club pour voir l'inscription,"Bitte wählen Sie einen Club aus, um die Anmeldung anzuzeigen"
Please select a club to view the interclub venues,Please select a club to view the interclub venues,Selecteer een club om de speellokalen te bekijken,Veuillez sélectionner un club pour voir les salles de jeux \interclubs,"Bitte wählen Sie einen Club aus, um die Interclub-Spielorte anzuzeigen"
Postal address,Postal address,Postadres,Adresse postale,Postanschrift
postponed,postponed,uitgesteld,reporté,verschoben
President,President,Voorzitter,Président,Prásident
President CIS,President CIS,Voorzitter CIS,Président CIS,Prásident CIS
PUBLIC,Public,Publiek,Public,öffentlich
Questions,Questions,Vragen,Questions,Fragen
Rating manager,Rating manager,Ratingmanager,Responsable du classement ELO,Ratingmanager
Rating manager Belg.,Rating manager Belg.,Belg. Ratingmanager,Responsable du classement ELO belge,Belg. Ratingmanager
Rating manager FIDE,Rating manager FIDE,FIDE Ratingmanager,Responsable du classement ELO FIDE,FIDE-Ratingmanager
RBCF,RCBF,KBSB,FRBE,KBSB
read more,read more,lees meer,en savoir plus,weiter lesen
Regional,Regional,Regionaal,Régional,Regional
Regional preferences,Regional preferences,Regionale voorkeuren,Préférences régionales,Regionale Präferenzen
Registered office,Registered office,Maatschappelijke zetel,Siège social,Sitz der Gesellschaft
Remarks,Remarks,Opmerkingen,Remarques,Bemerkungen
Remove transfer,Remove transfer,Transfer verwijderen,Supprimer le transfert,Transfer entfernen
Reports,Reports,Verslagen,Procès verbaux,Berichte
Representative BOIC,Representative BOIC,BOIC afgevaardigde,Délegué COIB,Stellvertreter BOIC
Representative female players,Representative female players,Vertegenwoordiger speelsters,Représentant joueuses,Vertreter für Spielerinnen
Representative for FIDE & ECU,Representative for FIDE & ECU,Afgevaardigde FIDE & ECU,Représentant pour FIDE & ECU,Vertreter für FIDE & ECU
Representative titled players,Representative titled players,Vertegenwoordiger  titelspelers,Représentant joueurs titrés,Vertreter für Titelspieler
Results,Results,Resultaten,Résultats,Ergebnisse
Results,Results,Resulaten,Résultats,Ergebnisse
Results SWAR,Results SWAR,Resulaten SWAR,Résultats SWAR,Ergebnisse SWAR
Round,Round,Ronde,Ronde,Runde
Royal Belgian Chess Federation npo,Royal Belgian Chess Federation npo,Koninklijke Belgische Schaakbond vzw.,Fédération Royale Belge des Echecs asbl.,Königlicher Schachbund Belgien VoE
Save,Save,Opslaan,Sauvegarder,Speichern
Save access rights,Save access rights,Toegangsrechten bewaren,Enregistrer les droits d'accès,Zugriffsrechte speichern
Save changes,Save changes,Wijzigingen opslaan,Sauvegarder les modifications,Änderungen speichern
Save club,Save club,Club bewaren,Enregistrer le club,Verein speichern
Save enrollment,Save enrollment,Inschrijving opslaan,Enregistrer l'inscription,Anmeldung speichern
Save Venues,Save Venues,Speellokalen opslaan,Enregistrer les salles de jeux,Spielorte speichern
Secretary,Secretary,Secretaris,Secrétaire,Sekretär
Secretary general,Secretary general,Secretaris-generaal,Secrétaire général,Generalsekretär
Select a club to view the access rights,Select a club to view the access rights,Selecteer een club om de toegangsrechten te bekijken,Sélectionnez un club pour voir les droits d'accès,"Wählen Sie einen Club aus, um die Zugriffsrechte anzuzeigen"
Select a club to view the club details,Select a club to view the club details,Selecteer een club om de clubdetails te bekijken,Sélectionnez un club pour afficher les détails du club,"Wählen Sie einen Club aus, um die Clubdetails anzuzeigen"
Select the club,Select the club,Kles de club,Sélectionnez le cercle,Wählen Sie den Verein aus
Select the rounds the venue is not available,Select the rounds the venue is not available,Selecteer de ronden waarop het lokaal niet beschikbaar is,Sélectionnez les rondes où le lieu n'est pas disponible,"Wählen Sie die Runden aus, für die der Ort nicht verfügbar ist"
Selected club,Selected club,Geselecteerde club,Cercle sélectionné,Ausgewählter Verein
Short name,Short name,Korte naam,Nom court,Kurzer Name
Sign in,Sign in,Aanmelden,Identification,Einloggen
Social media,Social media,Sociale media,Mediasociaux,Sozialen Medien
Standings,Standings,Stand,Classement,Rangliste
Start entering planning,Start entering planning,De start voor het invoeren van planning,Le début de la saisie du planning,Der Start zum Einstieg in die Planung
Start typing number or name,Start typing number or name,Begin met het typen van nummer of naam,Commencez à taper le numéro ou le nom,Beginnen Sie mit der Eingabe der Nummer oder des Namens
Start typing to filter (clubnumber or name),Start typing to filter (clubnumber or name),Begin met typen om te filteren (clubnummer of naam),Commencez à taper pour filtrer (numéro de club ou nom),"Beginnen Sie mit der Eingabe, um zu filtern (Clubnummer oder Name)"
Statutes,Statutes,Statuten,Statuts,Statuten
Submit,Submit,Indienen,Soumettre,Einreichen
Teams,Teams,Teams,Equipes,Mannschaften
Teams grouped by pairing number,Teams grouped by pairing number,Teams gegroepeerd per paringsnummer,Equipes regroupées par numéro d'appariement,Teams gruppiert nach Paarung-Nummer
Teams in division,Teams in division,Teams in divisie,Equipes en division,Mannschaften in der Division
Telephone number,Telephone number,Telefoonnummer,Numéro de téléphone,Telefonnummer
The club administrators have write access to the Club Manager,This club is not enrolled in the interclubs.,De clubbeheerders hebben schrijftoegang tot de Clubmanager,Les administrateurs du club ont un accès en écriture au Club Manager,Die Clubadministratoren haben Schreibzugriff auf den Clubmanager
The club is not enrolled yet,The club is not enrolled yet,De club is nog niet ingeschreven,Le cercle n'est pas encore inscrit,Der Verein ist noch nicht registriert
The interclub administrators have write access to the Interclub Manager,The interclub administrators have write access to the Interclub Manager,De interclubbeheerders hebben schrijftoegang tot de Interclub Manager,Les administrateurs interclubs ont accès en écriture au Interclub Manager,Die Interclub-Administratoren haben Schreibzugriff auf den Interclub Manager
The interclub captains have write access to the planning and results of the Interclub.,The interclub captains have write access to the planning and results of the Interclub.,De interclubcaptains hebben schrijftoegang tot de planning en resultaten van de Interclub.,Les capitaines interclubs ont accès en écriture au planning et aux résultats de l'interclub.,Die Interclub-Captains haben schriftlichen Zugriff auf die Planungen und Ergebnisse des Interclubs.
The player list of a club is established in 4 steps,The player list of a club is established in 4 steps,De spelerslijst van een club komt tot stand in 4 stappen,La liste de force d'un club est établie en 4 étapes,Die Spielerliste eines Vereins wird in 4 Schritten erstellt
The venue is not available on following rounds,The venue is not available on following rounds,Het lokaal is niet beschikbaar in de volgende ronden,La salle n'est pas disponible pour les rondes suivantes,Der Ort ist in den folgenden Runden nicht verfügbar
There are players with the same assigned rating.,There are players with the same assigned rating.,Er zijn spelers met dezelfde Elo,Il y a des joueurs avec le même Elo attribué.,Es gibt Spieler mit dem gleichen zugewiesenen Elo.
These members can automatically be added to the playerlist.,These members can automatically be added to the playerlist.,Deze leden kunnen automatisch aan de spelerslijst worden toegevoegd.,Ces membres peuvent être automatiquement ajoutés à la liste de force.,Diese Mitglieder können automatisch zur Spielerliste hinzugefügt werden.
This club is not enrolled in the interclubs,This club is not enrolled in the interclubs,Deze club is niet ingeschreven in de interclubs,Ce club n'est pas inscrit aux interclubs,Dieser Club ist nicht in den Interclubs eingeschrieben
This club is not enrolled in the interclubs.,This club is not enrolled in the interclubs.,De club is  voor de Interclubs niet ingeschreven,Le cercle n'est pas iinscrit pour les interclub,Der Verein ist nicht für Interclubs registriert
This is done by adapting the rating of the players.,This is done by adapting the rating of the players.,Dit gebeurt door de rating van de spelers aan te passen.,Cela se fait en adaptant l'Elo des joueurs.,Dies geschieht durch die Anpassung des Elos der Spieler.
Titulars for,Titulars for,Titularissen voor ,Titulaires pour,Inhaber für 
